Ref,Eng,Heb6,Heb5,Heb4,Heb3,Heb2,Heb1,Highlight,Morph,Strongs
Gen.2.23-10,,,,,,,יִקָּרֵא,,HVNi3ms,H7121=קָרָא=to call_§2_call_by|name
Gen.2.23-11,,,,,,,אִשָּׁה,,HNcfsa,H0802=אִשָּׁה=woman_§1_woman
Gen.2.23-12,,,,,,,כִּי,,HTc,H3588a=כִּי=for
Gen.2.23-13,,,,,,אישׁ,מֵ,,HR/Ncbsa,H9006=מ=from/H0376=אִישׁ=man_§1_man
Gen.2.23-14,,,,,,־,לֻקֳחָה,,HVPp3fs,H3947=לָקַח=to take_§1_take/H9014=־=link
Gen.2.23-15,,,,,,׃,זֹּאת,,HTm,H2063=זֹאת=this/H9016=׃=verseEnd
Gen.2.24-01,,,,,,־,עַל,,HR,H5921a=עַל=upon/H9014=־=link
Gen.2.24-02,,,,,,,כֵּן,,HD,H3651c=כֵּן=so
Gen.2.24-03,,,,,,־,יַעֲזָב,,HVqi3ms,H5800a=עָזַב=to leave_§_forsake/H9014=־=link
Gen.2.24-04,,,,,,,אִישׁ,,HNcbsa,H0376=אִישׁ=man_§1_man
Gen.2.24-05,,,,,,־,אֶת,,HTo,H0853=אֵת=obj./H9014=־=link
Gen.2.24-06,,,,,,ו,אָבי,,HNcbsc/Sp3ms,H0001=אָב=father/H9023=Ps3m=his
Gen.2.24-07,,,,,־,אֶת,וְ,,HC/To,H9002=ו=and/H0853=אֵת=obj./H9014=־=link
Gen.2.24-08,,,,,,וֹ,אִמּ,,HNcbsc/Sp3ms,H0517=אֵם=mother/H9023=Ps3m=his
Gen.2.24-09,,,,,,דָבַק,וְ,,Hc/Vqq3ms,H9001=ו=seq/H1692=דָּבַק=to cleave
Gen.2.24-10,,,,,וֹ,אִשְׁתּ,בְּ,,HR/Ncfsc/Sp3ms,H9003=ב=in/H0802=אִשָּׁה=woman_§2_wife|widow/H9023=Ps3m=his
Gen.2.24-11,,,,,,הָיוּ,וְ,,Hc/Vqq3cp,H9001=ו=seq/H1961=הָיָה=to be
Gen.2.24-12,,,,,,בָשָׂר,לְ,,HR/Ncbsa,H9005=ל=to/H1320=בָּשָׂר=flesh
Gen.2.24-13,,,,,,׃,אֶחָד,,HAcbsa,H0259=אֶחָד=one/H9016=׃=verseEnd
Gen.2.25-01,,,,,,יִּהְיוּ,וַ,,Hc/Vqw3mp,H9001=ו=seq/H1961=הָיָה=to be
Gen.2.25-02,,,,,,הֶם,שְׁנֵי,,HAcbdc/Sp3mp,H8147=שְׁנַ֫יִם=two/H9028=Pp3m=their
Gen.2.25-03,,,,,,,עֲרוּמִּים,,HAampa,H6174=עָרוֹם=naked
Gen.2.25-04,,,,,,אָדָם,הָ,,HTd/Ncbsa,H9009=ה=the/H0120=אָדָם=man_§man|Adam@Gen.2.19
Gen.2.25-05,,,,,וֹ,אִשְׁתּ,וְ,,HC/Ncfsc/Sp3ms,H9002=ו=and/H0802=אִשָּׁה=woman_§2_wife|widow/H9023=Ps3m=his
Gen.2.25-06,,,,,,לֹא,וְ,,HC/Tn,H9002=ו=and/H3808=לֹא=not
Gen.2.25-07,,,,,,׃,יִתְבֹּשָׁשׁוּ,,HVti3mp,H0954=בּוֹשׁ=be ashamed/H9016=׃=verseEnd
Gen.3.1-01,,,,,נָּחָשׁ,הָ,וְ,,HC/Td/Ncbsa,H9002=ו=and/H9009=ה=the/H5175=נָחָשׁ=serpent
