Ref,Eng,Heb6,Heb5,Heb4,Heb3,Heb2,Heb1,Highlight,Morph,Strongs
Gen.1.27-05,,,,,וֹ,צַלְמ,בְּ,,HR/Ncbsc/Sp3ms,H9003=ב=in/H6754=צֶ֫לֶם=image/H9023=Ps3m=his
Gen.1.27-06,,,,,,צֶלֶם,בְּ,,HR/Ncbsc,H9003=ב=in/H6754=צֶ֫לֶם=image
Gen.1.27-07,,,,,,,אֱלֹהים,,HNcmpa,H0430=אֱלֹהִים=God_§God@Gen.1.1
Gen.1.27-08,,,,,,,בָּרָא,,HVqp3ms,H1254a=בָּרָא=to create
Gen.1.27-09,,,,,,וֹ,אֹת,,HTo/Sp3ms,H0853=אֵת=obj./H9033=Os3m=him
Gen.1.27-10,,,,,,,זָכָר,,HAabsa,H2145=זָכָר=male
Gen.1.27-11,,,,,,נְקֵבָה,וּ,,HC/Aafsa,H9002=ו=and/H5347=נְקֵבָה=female
Gen.1.27-12,,,,,,,בָּרָא,,HVqp3ms,H1254a=בָּרָא=to create
Gen.1.27-13,,,,,׃,ם,אֹתָ,,HTo/Sp3mp,H0853=אֵת=obj./H9038=Op3m=them/H9016=׃=verseEnd
Gen.1.28-01,,,,,,יְבָרֶךְ,וַ,,Hc/Vpw3ms,H9001=ו=seq/H1288=בָּרַךְ=to bless
Gen.1.28-02,,,,,,ם,אֹתָ,,HTo/Sp3mp,H0853=אֵת=obj./H9038=Op3m=them
Gen.1.28-03,,,,,,,אֱלֹהִים֒,,HNcmpa,H0430=אֱלֹהִים=God_§God@Gen.1.1
Gen.1.28-04,,,,,,יֹּאמֶר,וַ,,Hc/Vqw3ms,H9001=ו=seq/H0559=אָמַר=to say
Gen.1.28-05,,,,,,הֶ֜ם,לָ,,HRd/Sp3mp,H9005=ל=to/H9038=Op3m=them
Gen.1.28-06,,,,,,,אֱלֹהִ֗ים,,HNcmpa,H0430=אֱלֹהִים=God_§God@Gen.1.1
Gen.1.28-07,,,,,,,פְּרוּ,,HVqv2mp,H6509=פָּרָה=be fruitful
Gen.1.28-08,,,,,,רְבוּ,וּ,,HC/Vqv2mp,H9002=ו=and/H7235a=רָבָה=to multiply
Gen.1.28-09,,,,,,מִלְאוּ,וּ,,HC/Vqv2mp,H9002=ו=and/H4390=מָלֵא=to fill
Gen.1.28-10,,,,,,־,אֶת,,HTo,H0853=אֵת=obj./H9014=־=link
Gen.1.28-11,,,,,,אָרֶץ,הָ,,HTd/Ncbsa,H9009=ה=the/H0776=אֶ֫רֶץ=land_§3_planet
Gen.1.28-12,,,,,הָ,כִבְשֻׁ,וְ,,HC/Vqv2mp/Sp3fs,H9002=ו=and/H3533=כָּבַשׁ=to subdue/H9034=Os3f=her
Gen.1.28-13,,,,,,רְד֞וּ,וּ,,HC/Vqv2mp,H9002=ו=and/H7287a=רָדָה=to rule
Gen.1.28-14,,,,,,דְגַת,בִּ,,HR/Ncfsc,H9003=ב=in/H1710=דָּגָה=fish
Gen.1.28-15,,,,,,יָּם,הָ,,HTd/Ncbsa,H9009=ה=the/H3220=יָם=sea_§1_sea
Gen.1.28-16,,,,,עוֹף,בְ,וּ,,HC/R/Ncbsc,H9002=ו=and/H9003=ב=in/H5775=עוֹף=bird
Gen.1.28-17,,,,,,שָּׁמַיִם,הָ,,HTd/Ncmpa,H9009=ה=the/H8064=שָׁמַיִם=heaven
Gen.1.28-18,,,,־,כָל,בְ,וּ,,HC/R/Ncbsc,H9002=ו=and/H9003=ב=in/H3605=כֹּל=all/H9014=־=link
Gen.1.28-19,,,,,,,חַיָּה,,HNcfsa,H2416a=חַי=alive
Gen.1.28-20,,,,,,רֹמֶשֶׂת,הָ,,HTd/Vqrfsa,H9009=ה=the/H7430=רָמַשׂ=to creep
Gen.1.28-21,,,,,,־,עַל,,HR,H5921a=עַל=upon/H9014=־=link
Gen.1.28-22,,,,,׃,אָרֶץ,הָ,,HTd/Ncbsa,H9009=ה=the/H0776=אֶ֫רֶץ=land_§1_soil/H9016=׃=verseEnd
Gen.1.29-01,,,,,,יֹּאמֶר,וַ,,Hc/Vqw3ms,H9001=ו=seq/H0559=אָמַר=to say
Gen.1.29-02,,,,,,,אֱלֹהִ֗ים,,HNcmpa,H0430=אֱלֹהִים=God_§God@Gen.1.1
Gen.1.29-03,,,,,,,הִנֵּה,,HTj,H2009=הִנֵּה=behold
Gen.1.29-04,,,,,,,נָתַתִּי,,HVqp1cs,H5414=נָתַן=to give_§1_give|deliver|send|produce
Gen.1.29-05,,,,,,כֶ֜ם,לָ,,HRd/Sp2mp,H9005=ל=to/H9036=Op2m=you
Gen.1.29-06,,,,,,־,אֶת,,HTo,H0853=אֵת=obj./H9014=־=link
Gen.1.29-07,,,,,,־,כָּל,,HNcbsc,H3605=כֹּל=all/H9014=־=link
Gen.1.29-08,,,,,,׀,עֵשֶׂב,,HNcbsa,H6212=עֵ֫שֶׂב=vegetation/H9015=׀=separate
Gen.1.29-09,,,,,,,זֹרֵעַ,,HVqrmsa,H2232=זָרַע=to sow
Gen.1.29-10,,,,,,,זֶ֗רַע,,HNcbsa,H2233=זֶ֫רַע=seed_§1_seed|sowing
Gen.1.29-11,,,,,,,אֲשֶׁר,,HTr,H0834a=אֲשֶׁר=which
Gen.1.29-12,,,,,,־,עַל,,HR,H5921a=עַל=upon/H9014=־=link
Gen.1.29-13,,,,,,,פְּנֵי,,HNcmpc,H6440=פָּנֶה=face_§4_surface|land
Gen.1.29-14,,,,,,־,כָל,,HNcbsc,H3605=כֹּל=all/H9014=־=link
Gen.1.29-15,,,,,,אָרֶץ,הָ,,HTd/Ncbsa,H9009=ה=the/H0776=אֶ֫רֶץ=land_§3_planet
Gen.1.29-16,,,,,־,אֶת,וְ,,HC/To,H9002=ו=and/H0853=אֵת=obj./H9014=־=link
Gen.1.29-17,,,,,,־,כָּל,,HNcbsc,H3605=כֹּל=all/H9014=־=link
Gen.1.29-18,,,,,,עֵץ,הָ,,HTd/Ncbsa,H9009=ה=the/H6086=עֵץ=tree_§2_tree
Gen.1.29-19,,,,,,־,אֲשֶׁר,,HTr,H0834a=אֲשֶׁר=which/H9014=־=link
Gen.1.29-20,,,,,,וֹ,בּ,,HRd/Sp3ms,H9003=ב=in/H9033=Os3m=him
Gen.1.29-21,,,,,,־,פְרִי,,HNcbsc,H6529=פְּרִי=fruit/H9014=־=link
Gen.1.29-22,,,,,,,עֵץ,,HNcbsa,H6086=עֵץ=tree_§2_tree
Gen.1.29-23,,,,,,,זֹרֵעַ,,HVqrmsa,H2232=זָרַע=to sow
Gen.1.29-24,,,,,,,זָרַע,,HNcbsa,H2233=זֶ֫רַע=seed_§1_seed|sowing
Gen.1.29-25,,,,,,כֶם,לָ,,HRd/Sp2mp,H9005=ל=to/H9036=Op2m=you
Gen.1.29-26,,,,,,,יִהְיֶה,,HVqi3ms,H1961=הָיָה=to be
Gen.1.29-27,,,,,׃,אָכְלָה,לְ,,HR/Ncfsa,H9005=ל=to/H0402=אׇכְלָה=food/H9016=׃=verseEnd
Gen.1.30-01,,,,־,כָל,לְ,וּ,,HC/R/Ncbsc,H9002=ו=and/H9005=ל=to/H3605=כֹּל=all/H9014=־=link
Gen.1.30-02,,,,,,,חַיַּת,,HNcfsc,H2416c=חַיָּה=living thing
Gen.1.30-03,,,,,,אָרֶץ,הָ֠,,HTd/Ncbsa,H9009=ה=the/H0776=אֶ֫רֶץ=land_§1_soil
Gen.1.30-04,,,,־,כָל,לְ,וּ,,HC/R/Ncbsc,H9002=ו=and/H9005=ל=to/H3605=כֹּל=all/H9014=־=link
Gen.1.30-05,,,,,,,עוֹף,,HNcbsc,H5775=עוֹף=bird
Gen.1.30-06,,,,,,שָּׁמַ֜יִם,הָ,,HTd/Ncmpa,H9009=ה=the/H8064=שָׁמַיִם=heaven
Gen.1.30-07,,,,׀,כֹל,לְ,וּ,,HC/R/Ncbsc,H9002=ו=and/H9005=ל=to/H3605=כֹּל=all/H9015=׀=separate
Gen.1.30-08,,,,,,,רוֹמֵשׂ,,HVqrmsa,H7430=רָמַשׂ=to creep
Gen.1.30-09,,,,,,־,עַל,,HR,H5921a=עַל=upon/H9014=־=link
Gen.1.30-10,,,,,,אָ֗רֶץ,הָ,,HTd/Ncbsa,H9009=ה=the/H0776=אֶ֫רֶץ=land_§1_soil
Gen.1.30-11,,,,,,־,אֲשֶׁר,,HTr,H0834a=אֲשֶׁר=which/H9014=־=link
Gen.1.30-12,,,,,,וֹ,בּ,,HRd/Sp3ms,H9003=ב=in/H9033=Os3m=him
Gen.1.30-13,,,,,,,נֶפֶשׁ,,HNcbsa,H5315=נֶ֫פֶשׁ=soul_§2_life|breath
Gen.1.30-14,,,,,,,חַיָּה,,HAafsa,H2416a=חַי=alive
Gen.1.30-15,,,,,,־,אֶת,,HTo,H0853=אֵת=obj./H9014=־=link
Gen.1.30-16,,,,,,־,כָּל,,HNcbsc,H3605=כֹּל=all/H9014=־=link
Gen.1.30-17,,,,,,,יֶרֶק,,HNcbsa,H3418=יֶ֫רֶק=green
Gen.1.30-18,,,,,,,עֵשֶׂב,,HNcbsa,H6212=עֵ֫שֶׂב=vegetation
Gen.1.30-19,,,,,,אָכְלָה,לְ,,HR/Ncfsa,H9005=ל=to/H0402=אׇכְלָה=food
Gen.1.30-20,,,,,־,יְהִי,וַ,,Hc/Vqw3ms,H9001=ו=seq/H1961=הָיָה=to be/H9014=־=link
Gen.1.30-21,,,,,,׃,כֵן,,HD,H3651c=כֵּן=so/H9016=׃=verseEnd
Gen.1.31-01,,,,,,יַּרְא,וַ,,Hc/Vqw3ms,H9001=ו=seq/H7200=רָאָה=to see_§1_see|show
Gen.1.31-02,,,,,,,אֱלֹהִים,,HNcmpa,H0430=אֱלֹהִים=God_§God@Gen.1.1
Gen.1.31-03,,,,,,־,אֶת,,HTo,H0853=אֵת=obj./H9014=־=link
Gen.1.31-04,,,,,,־,כָּל,,HNcbsa,H3605=כֹּל=all/H9014=־=link
Gen.1.31-05,,,,,,,אֲשֶׁר,,HTr,H0834a=אֲשֶׁר=which
Gen.1.31-06,,,,,,,עָשָׂה,,HVqp3ms,H6213a=עָשָׂה=to make_§1_make(OBJECT)
Gen.1.31-07,,,,,־,הִנֵּה,וְ,,HC/Tj,H9002=ו=and/H2009=הִנֵּה=behold/H9014=־=link
Gen.1.31-08,,,,,,,טוֹב,,HAabsa,H2896a=טוֹב=pleasant
Gen.1.31-09,,,,,,,מְאד,,HNcbsa,H3966=מְאֹד=much
Gen.1.31-10,,,,,־,יְהִי,וַ,,Hc/Vqw3ms,H9001=ו=seq/H1961=הָיָה=to be/H9014=־=link
Gen.1.31-11,,,,,,,עֶרֶב,,HNcbsa,H6153=עֶ֫רֶב=evening
Gen.1.31-12,,,,,־,יְהִי,וַ,,Hc/Vqw3ms,H9001=ו=seq/H1961=הָיָה=to be/H9014=־=link
Gen.1.31-13,,,,,,,בֹקֶר,,HNcbsa,H1242=בֹּ֫קֶר=morning
Gen.1.31-14,,,,,,,יוֹם,,HNcbsc,H3117=יוֹם=day_§1_day
Gen.1.31-15,,,,פ,׃,שִּׁשִּׁי,הָ,,HTd/Aobsa,H9009=ה=the/H8345=שִׁשִּׁי=sixth/H9016=׃=verseEnd/H9017=פ=para
Gen.2.1-01,,,,,,יְכֻלּוּ,וַ,,Hc/VPw3mp,H9001=ו=seq/H3615=כָּלָה=to end_§1_finish
Gen.2.1-02,,,,,,שָּׁמַיִם,הָ,,HTd/Ncmpa,H9009=ה=the/H8064=שָׁמַיִם=heaven
Gen.2.1-03,,,,,אָרֶץ,הָ,וְ,,HC/Td/Ncbsa,H9002=ו=and/H9009=ה=the/H0776=אֶ֫רֶץ=land_§3_planet
Gen.2.1-04,,,,,־,כָל,וְ,,HC/Ncbsc,H9002=ו=and/H3605=כֹּל=all/H9014=־=link
Gen.2.1-05,,,,,׃,ם,צְבָאָ,,HNcbsc/Sp3mp,H6635a=צָבָא=army_§1_army/H9028=Pp3m=their/H9016=׃=verseEnd
Gen.2.2-01,,,,,,יְכַל,וַ,,Hc/Vpw3ms,H9001=ו=seq/H3615=כָּלָה=to end_§1_finish
Gen.2.2-02,,,,,,,אֱלֹהִים,,HNcmpa,H0430=אֱלֹהִים=God_§God@Gen.1.1
Gen.2.2-03,,,,,,יּוֹם,בַּ,,HRd/Ncbsa,H9003=ב=in/H3117=יוֹם=day_§1_day
Gen.2.2-04,,,,,,שְּׁבִיעִי,הָ,,HTd/Aobsa,H9009=ה=the/H7637=שְׁבִיעִי=seventh
Gen.2.2-05,,,,,,וֹ,מְלַאכְתּ,,HNcfsc/Sp3ms,H4399=מְלָאכָה=work/H9023=Ps3m=his
Gen.2.2-06,,,,,,,אֲשֶׁר,,HC,H0834a=אֲשֶׁר=which
Gen.2.2-07,,,,,,,עָשָׂה,,HVqp3ms,H6213a=עָשָׂה=to make_§2_do|perform
Gen.2.2-08,,,,,,יִּשְׁבֹּת,וַ,,Hc/Vqw3ms,H9001=ו=seq/H7673a=שָׁבַת=to cease
Gen.2.2-09,,,,,,יּוֹם,בַּ,,HRd/Ncbsa,H9003=ב=in/H3117=יוֹם=day_§1_day
Gen.2.2-10,,,,,,שְּׁבִיעִי,הָ,,HTd/Aobsa,H9009=ה=the/H7637=שְׁבִיעִי=seventh
Gen.2.2-11,,,,,־,כָּל,מִ,,HR/Ncbsc,H9006=מ=from/H3605=כֹּל=all/H9014=־=link
Gen.2.2-12,,,,,,וֹ,מְלַאכְתּ,,HNcfsc/Sp3ms,H4399=מְלָאכָה=work/H9023=Ps3m=his
Gen.2.2-13,,,,,,,אֲשֶׁר,,HC,H0834a=אֲשֶׁר=which
Gen.2.2-14,,,,,,׃,עָשָׂה,,HVqp3ms,H6213a=עָשָׂה=to make_§2_do|perform/H9016=׃=verseEnd
Gen.2.3-01,,,,,,יְבָרֶךְ,וַ,,Hc/Vpw3ms,H9001=ו=seq/H1288=בָּרַךְ=to bless
Gen.2.3-02,,,,,,,אֱלֹהִים,,HNcmpa,H0430=אֱלֹהִים=God_§God@Gen.1.1
Gen.2.3-03,,,,,,־,אֶת,,HTo,H0853=אֵת=obj./H9014=־=link
Gen.2.3-04,,,,,,,יוֹם,,HNcbsc,H3117=יוֹם=day_§1_day
Gen.2.3-05,,,,,,שְּׁבִיעִי,הָ,,HTd/Aobsa,H9009=ה=the/H7637=שְׁבִיעִי=seventh
Gen.2.3-06,,,,,,יְקַדֵּשׁ,וַ,,Hc/Vpw3ms,H9001=ו=seq/H6942=קָדַשׁ=to consecrate_§1_consecate|sanctify
Gen.2.3-07,,,,,,וֹ,אֹת,,HTo/Sp3ms,H0853=אֵת=obj./H9033=Os3m=him
Gen.2.3-08,,,,,,,כִּי,,HTc,H3588a=כִּי=for
Gen.2.3-09,,,,,,וֹ,ב,,HRd/Sp3ms,H9003=ב=in/H9033=Os3m=him
Gen.2.3-10,,,,,,,שָׁבַת,,HVqp3ms,H7673a=שָׁבַת=to cease
Gen.2.3-11,,,,,־,כָּל,מִ,,HR/Ncbsc,H9006=מ=from/H3605=כֹּל=all/H9014=־=link
Gen.2.3-12,,,,,,וֹ,מְלַאכְתּ,,HNcfsc/Sp3ms,H4399=מְלָאכָה=work/H9023=Ps3m=his
Gen.2.3-13,,,,,,־,אֲשֶׁר,,HTr,H0834a=אֲשֶׁר=which/H9014=־=link
Gen.2.3-14,,,,,,,בָּרָא,,HVqp3ms,H1254a=בָּרָא=to create
Gen.2.3-15,,,,,,,אֱלֹהים,,HNcmpa,H0430=אֱלֹהִים=God_§God@Gen.1.1
Gen.2.3-16,,,,פ,׃,עֲשׂוֹת,לַ,,HR/Vqcc,H9005=ל=to/H6213a=עָשָׂה=to make_§2_do|perform/H9016=׃=verseEnd/H9017=פ=para
Gen.2.4-01,,,,,,,אֵלֶּה,,HTm,H0428=אֵ֫לֶּה=these
Gen.2.4-02,,,,,,,תוֹלְדוֹת,,HNcfpc,H8435=תּוֹלֵדוֹת=generation
Gen.2.4-03,,,,,,שָּׁמַיִם,הָ,,HTd/Ncmpa,H9009=ה=the/H8064=שָׁמַיִם=heaven
Gen.2.4-04,,,,,אָרֶץ,הָ,וְ,,HC/Td/Ncbsa,H9002=ו=and/H9009=ה=the/H0776=אֶ֫רֶץ=land_§3_planet
Gen.2.4-05,,,,,ם,הִבָּרְאָ,בְּ,,HR/VNcc/Sp3mp,H9003=ב=in/H1254a=בָּרָא=to create/H9048=Sp3m=they
Gen.2.4-06,,,,,,י֗וֹם,בְּ,,HR/Ncbsc,H9003=ב=in/H3117=יוֹם=day_§1_day
Gen.2.4-07,,,,,,,עֲשׂוֹת,,HVqcc,H6213a=עָשָׂה=to make_§1_make(OBJECT)
Gen.2.4-08,,,,,,,יְהוָה,,HNpt,H3068=יהוה=YHWH|Yahweh_§LORD|God@Gen.1.1
Gen.2.4-09,,,,,,,אֱלֹהים,,HNcmpa,H0430=אֱלֹהִים=God_§God@Gen.1.1
Gen.2.4-10,,,,,,,אֶרֶץ,,HNcbsa,H0776=אֶ֫רֶץ=land_§3_planet
Gen.2.4-11,,,,,׃,שָׁמָיִם,וְ,,HC/Ncmpa,H9002=ו=and/H8064=שָׁמַיִם=heaven/H9016=׃=verseEnd
Gen.2.5-01,,,,,׀,כֹל,וְ,,HC/Ncbsc,H9002=ו=and/H3605=כֹּל=all/H9015=׀=separate
Gen.2.5-02,,,,,,,שִׂיחַ,,HNcbsc,H7880=שִׂיחַ=bush
Gen.2.5-03,,,,,,שָּׂדֶ֗ה,הָ,,HTd/Ncbsa,H9009=ה=the/H7704b=שָׂדֶה=field_§2_country|field
Gen.2.5-04,,,,,,,טֶ֚רֶם,,HNcbsa,H2962=טֶ֫רֶם=before
Gen.2.5-05,,,,,,,יִהְיֶה,,HVqi3ms,H1961=הָיָה=to be
Gen.2.5-06,,,,,,אָרֶץ,בָ,,HRd/Ncbsa,H9003=ב=in/H0776=אֶ֫רֶץ=land_§2_country|field
Gen.2.5-07,,,,,־,כָל,וְ,,HC/Ncbsc,H9002=ו=and/H3605=כֹּל=all/H9014=־=link
Gen.2.5-08,,,,,,,עֵשֶׂב,,HNcbsc,H6212=עֵ֫שֶׂב=vegetation
Gen.2.5-09,,,,,,שָּׂדֶה,הָ,,HTd/Ncbsa,H9009=ה=the/H7704b=שָׂדֶה=field_§2_country|field
Gen.2.5-10,,,,,,,טֶרֶם,,HNcbsa,H2962=טֶ֫רֶם=before
Gen.2.5-11,,,,,,,יִצְמָח,,HVqi3ms,H6779=צָמַח=to spring
Gen.2.5-12,,,,,,,כִּי,,HTc,H3588a=כִּי=for
Gen.2.5-13,,,,,,,לֹא,,HTn,H3808=לֹא=not
Gen.2.5-14,,,,,,,הִמְטִ֜יר,,HVhp3ms,H4305=מָטַר=to rain
Gen.2.5-15,,,,,,,יְהוָה,,HNpt,H3068=יהוה=YHWH|Yahweh_§LORD|God@Gen.1.1
Gen.2.5-16,,,,,,,אֱלֹהִים,,HNcmpa,H0430=אֱלֹהִים=God_§God@Gen.1.1
Gen.2.5-17,,,,,,־,עַל,,HR,H5921a=עַל=upon/H9014=־=link
Gen.2.5-18,,,,,,אָרֶץ,הָ,,HTd/Ncbsa,H9009=ה=the/H0776=אֶ֫רֶץ=land_§2_country|field
Gen.2.5-19,,,,,,אָדָם,וְ,,HC/Ncbsa,H9002=ו=and/H0120=אָדָם=man_§_human
Gen.2.5-20,,,,,,,אַיִן,,HNcbsa,H0369=אַ֫יִן=nothing
Gen.2.5-21,,,,,,עֲבֹד,לַ,,HR/Vqcc,H9005=ל=to/H5647=עָבַד=to serve_§3_labour|do(work)
Gen.2.5-22,,,,,,־,אֶת,,HTo,H0853=אֵת=obj./H9014=־=link
Gen.2.5-23,,,,,׃,אֲדָמָה,הָ,,HTd/Ncfsa,H9009=ה=the/H0127=אֲדָמָה=land_§1_soil/H9016=׃=verseEnd
Gen.2.6-01,,,,,,אֵד,וְ,,HC/Ncbsa,H9002=ו=and/H0108=אֵד=mist
Gen.2.6-02,,,,,,,יַעֲלֶה,,HVqi3ms,H5927=עָלָה=to ascend_§1_rise|go
Gen.2.6-03,,,,,,־,מִן,,HR,H4480a=מִן־=from/H9014=־=link
Gen.2.6-04,,,,,,אָרֶץ,הָ,,HTd/Ncbsa,H9009=ה=the/H0776=אֶ֫רֶץ=land_§2_country|field
Gen.2.6-05,,,,,,הִשְׁקָה,וְ,,Hc/Vhq3ms,H9001=ו=seq/H8248=שָׁקָה=to water_§1_watering(ANIMALS|PLANTS)
Gen.2.6-06,,,,,,־,אֶת,,HTo,H0853=אֵת=obj./H9014=־=link
Gen.2.6-07,,,,,,־,כָּל,,HNcbsc,H3605=כֹּל=all/H9014=־=link
Gen.2.6-08,,,,,,־,פְּנֵי,,HNcmpc,H6440=פָּנֶה=face_§4_surface|land/H9014=־=link
Gen.2.6-09,,,,,׃,אֲדָמָה,הָ,,HTd/Ncfsa,H9009=ה=the/H0127=אֲדָמָה=land_§1_soil/H9016=׃=verseEnd
Gen.2.7-01,,,,,,יִּיצֶר,וַ,,Hc/Vqw3ms,H9001=ו=seq/H3335=יָצַר=to form_§1_formed
Gen.2.7-02,,,,,,,יְהוָה,,HNpt,H3068=יהוה=YHWH|Yahweh_§LORD|God@Gen.1.1
Gen.2.7-03,,,,,,,אֱלֹהִ֜ים,,HNcmpa,H0430=אֱלֹהִים=God_§God@Gen.1.1
Gen.2.7-04,,,,,,־,אֶת,,HTo,H0853=אֵת=obj./H9014=־=link
Gen.2.7-05,,,,,,אָדָ֗ם,הָ,,HTd/Ncbsa,H9009=ה=the/H0120=אָדָם=man_§man|Adam@Gen.2.19
Gen.2.7-06,,,,,,,עָפָר,,HNcbsa,H6083=עָפָר=dust
Gen.2.7-07,,,,,,־,מִן,,HR,H4480a=מִן־=from/H9014=־=link
Gen.2.7-08,,,,,,אֲדָמָה,הָ,,HTd/Ncfsa,H9009=ה=the/H0127=אֲדָמָה=land_§1_soil
Gen.2.7-09,,,,,,יִּפַּח,וַ,,Hc/Vqw3ms,H9001=ו=seq/H5301=נָפַח=to breathe
Gen.2.7-10,,,,,ו,אַפָּי,בְּ,,HR/Ncbdc/Sp3ms,H9003=ב=in/H0639=אַף=anger_§2_nose/H9023=Ps3m=his
Gen.2.7-11,,,,,,,נִשְׁמַת,,HNcfsc,H5397=נְשָׁמָה=breath
Gen.2.7-12,,,,,,,חַיּים,,HNcmpa,H2416e=חַיִּים=life
Gen.2.7-13,,,,,,יְהִי,וַ,,Hc/Vqw3ms,H9001=ו=seq/H1961=הָיָה=to be
Gen.2.7-14,,,,,,אָדָם,הָ,,HTd/Ncbsa,H9009=ה=the/H0120=אָדָם=man_§man|Adam@Gen.2.19
Gen.2.7-15,,,,,,נֶפֶשׁ,לְ,,HR/Ncbsa,H9005=ל=to/H5315=נֶ֫פֶשׁ=soul_§5_animal
Gen.2.7-16,,,,,,׃,חַיָּה,,HAafsa,H2416a=חַי=alive/H9016=׃=verseEnd
Gen.2.8-01,,,,,,יִּטַּ֞ע,וַ,,Hc/Vqw3ms,H9001=ו=seq/H5193=נָטַע=to plant
Gen.2.8-02,,,,,,,יְהוָה,,HNpt,H3068=יהוה=YHWH|Yahweh_§LORD|God@Gen.1.1
Gen.2.8-03,,,,,,,אֱלֹהִים,,HNcmpa,H0430=אֱלֹהִים=God_§God@Gen.1.1
Gen.2.8-04,,,,,,־,גַּן,,HNcbsa,H1588=גַּן=garden_§_garden/H9014=־=link
Gen.2.8-05,,,,,,עֵדֶן,בְ,,HR/Npl,H9003=ב=in/H5731b=עֵ֫דֶן=Eden_§Eden@Gen.2.8
Gen.2.8-06,,,,,,קֶּדֶם,מִ,,HR/Ncbsa,H9006=מ=from/H6924a=קֶ֫דֶם=front_§1_east
Gen.2.8-07,,,,,,יָּשֶׂם,וַ,,Hc/Vqw3ms,H9001=ו=seq/H7760a=שׂוּם=to set_§2_put|give
Gen.2.8-08,,,,,,,שָׁם,,HD,H8033=שָׁם=there
Gen.2.8-09,,,,,,־,אֶת,,HTo,H0853=אֵת=obj./H9014=־=link
Gen.2.8-10,,,,,,אָדָם,הָ,,HTd/Ncbsa,H9009=ה=the/H0120=אָדָם=man_§man|Adam@Gen.2.19
Gen.2.8-11,,,,,,,אֲשֶׁר,,HTr,H0834a=אֲשֶׁר=which
Gen.2.8-12,,,,,,׃,יָצָר,,HVqp3ms,H3335=יָצַר=to form_§1_formed/H9016=׃=verseEnd
Gen.2.9-01,,,,,,יַּצְמַ֞ח,וַ,,Hc/Vhw3ms,H9001=ו=seq/H6779=צָמַח=to spring
Gen.2.9-02,,,,,,,יְהוָה,,HNpt,H3068=יהוה=YHWH|Yahweh_§LORD|God@Gen.1.1
Gen.2.9-03,,,,,,,אֱלֹהִים,,HNcmpa,H0430=אֱלֹהִים=God_§God@Gen.1.1
Gen.2.9-04,,,,,,־,מִן,,HR,H4480a=מִן־=from/H9014=־=link
Gen.2.9-05,,,,,,אֲדָמָה,הָ,,HTd/Ncfsa,H9009=ה=the/H0127=אֲדָמָה=land_§1_soil
Gen.2.9-06,,,,,,־,כָּל,,HNcbsc,H3605=כֹּל=all/H9014=־=link
Gen.2.9-07,,,,,,,עֵץ,,HNcbsa,H6086=עֵץ=tree_§2_tree
Gen.2.9-08,,,,,,,נֶחְמָד,,HVNrmsa,H2530a=חָמַד=to desire
Gen.2.9-09,,,,,,מַרְאֶה,לְ,,HR/Ncbsa,H9005=ל=to/H4758=מַרְאֶה=appearance
Gen.2.9-10,,,,,,טוֹב,וְ,,HC/Aabsa,H9002=ו=and/H2896a=טוֹב=pleasant
Gen.2.9-11,,,,,,מַאֲכָל,לְ,,HR/Ncbsa,H9005=ל=to/H3978=מַאֲכָל=food
Gen.2.9-12,,,,,,עֵץ,וְ,,HC/Ncbsc,H9002=ו=and/H6086=עֵץ=tree_§2_tree
Gen.2.9-13,,,,,,חַיִּים,הָ,,HTd/Ncmpa,H9009=ה=the/H2416e=חַיִּים=life
Gen.2.9-14,,,,,,תוֹךְ,בְּ,,HR/Ncbsc,H9003=ב=in/H8432=תָּ֫וֶךְ=midst
Gen.2.9-15,,,,,,גָּן,הָ,,HTd/Ncbsa,H9009=ה=the/H1588=גַּן=garden_§_garden
Gen.2.9-16,,,,,,עץ,וְ,,HC/Ncbsc,H9002=ו=and/H6086=עֵץ=tree_§2_tree
Gen.2.9-17,,,,,,דַּעַת,הָ,,HTd/Ncfsc,H9009=ה=the/H1847=דַּ֫עַת=knowledge
Gen.2.9-18,,,,,,,טוֹב,,HAabsa,H2896b=טוֹב=good
Gen.2.9-19,,,,,׃,רָע,וָ,,HC/Aabsa,H9002=ו=and/H7451b=רַע=evil/H9016=׃=verseEnd
Gen.2.10-01,,,,,,נָהָר,וְ,,HC/Ncbsa,H9002=ו=and/H5104=נָהָר=river
^([^,,,,,,,,,,
]*)-\d+\.[^,,,,,,,,,,
Gen.2.10-02,,,,,,,יֹצֵא,,HVqrmsa,H3318=יָצָא=to come out_§6_issue|flow|sprouting|leaping(water|fire|OBJECTS)
Gen.2.10-03,,,,,,עֵדֶן,מֵ,,HR/Npl,H9006=מ=from/H5731b=עֵ֫דֶן=Eden_§Eden@Gen.2.8
Gen.2.10-04,,,,,,הַשְׁקוֹת,לְ,,HR/Vhcc,H9005=ל=to/H8248=שָׁקָה=to water_§1_watering(ANIMALS|PLANTS)
Gen.2.10-05,,,,,,־,אֶת,,HTo,H0853=אֵת=obj./H9014=־=link
Gen.2.10-06,,,,,,גָּן,הָ,,HTd/Ncbsa,H9009=ה=the/H1588=גַּן=garden_§_garden
Gen.2.10-07,,,,,שָּׁם,מִ,וּ,,HC/R/D,H9002=ו=and/H9006=מ=from/H8033=שָׁם=there
Gen.2.10-08,,,,,,,יִפָּרֵד,,HVNi3ms,H6504=פָּרַד=to separate
